a.m,n.(缩)上午；午前
scarf,n.围巾头巾领带
scatter,vt.使消散撒散播驱散vi.分散消散n.散布零星少量
scene,n.发生地点道具场景情景
scenery,n.舞台布景风景布景背景
scent,"n.气味香味痕迹香水vt.闻出发觉使充满味道得到...的暗示vi.
嗅闻循着遗臭追踪散发气味"
sceptical,a. 怀疑的
schedule,n.时间表计划表一览表计划vt.安排计划预定编制目录
scheme,n.计划规划方案诡计阴谋v.计画设计体系结构图谋
scholar,n.学者(尤指文学方面)获奖学金的学生
scholarship,n.学业成绩奖学金学问学识
school,n.学校学院学派鱼群vt.教育训练磨炼vi.喂食鱼群游来游去
science,n.科学科学研究
scientific,adj.科学(上)的
scientist,n.(自然)科学家
scissors,n.剪刀剪子
scold,vi.责骂vt.申斥n.老爱责骂的人训斥
scope,n.范围余地机会能力眼界vt.仔细研究
score,"n.得分比数成绩刻痕二十乐谱vt.记分刻划划线得分批评给...谱
曲vi.得分记分得胜"
scorn,n.轻蔑；嘲笑 vt.轻蔑
scout,n.侦察员侦察机童子军守卫vt.侦察物色人才vi.寻找物色
scrap,n.碎片；废料 vt.废弃
scrape,vt. &vi. &n.刮擦刮擦声
scratch,"vt. &vi.搔抓搔痒抹掉n.搔抓抓痕抓的声音乱写adj.使皮肤发痒
的潦草的"
scream,vi.尖叫呼啸大笑n.尖叫声
screen,n.屏屏幕银幕屏风vt.掩蔽放映检查选拔遮蔽
screw,"n.螺旋螺旋状物螺丝螺丝钉吝啬鬼压迫转动监狱看守vt.拧紧扭
紧压榨欺骗强迫vi.旋转"
script,"n. 手迹,手稿,剧本,字母表"
scrutiny,"n. 细看,仔细检查,监视"
sculpture,"n. 雕刻,雕塑,雕刻(术)"
sea,n.海海洋
seal,n.封蜡印记印章封条海豹vt.封盖印封闭猎海豹
seam,n.缝口；接缝；骨缝
seaman,n.海员水手水兵
seaport,n.海港港市
search,vt.在...中搜寻搜查探求调查n.搜寻探究
season,"n.季季节时节旺季上演期vt.加调味料调味使...适用于vi.使...
被调味"
seat,n.座座部位子所在地中心vt.使坐下可容纳vi.坐
second,num.第二adj.二等的第二的另一个的n.第二秒vt.支持
secondary,adj.第二的次要的中级的中等的n.次要位置副手
secondly,adv.第二(点)其次
secret,adj.秘密的隐蔽的难懂的机密的n.秘密诀窍
secretary,n.秘书书记大臣部长写字台
section,n.切片一段部门零件部分章节区域路段断面vt.划分切开vi.划分
sector,"n.部门,部分,扇形"
secure,"adj.安心的安全的无虑的牢靠的稳妥的vt.固定获得使...安全
vi.(海上工作人员)停止工作(船)抛锚停泊"
security,n.安全安全感防护措施保证(金)抵押(品)债券证券
see,"vt.看见遇见看出经历明白确保视为拜访陪同vi.注意想象了解调
查n.主教教区主角权限"
seed,n.种(子)籽萌芽vi.(植物)结实播种vt.播种
seek,vt.寻找探索试图vi.寻找
seem,vi.好像似乎
seemingly,ad.表面上，外表上
segment,n.切片，部分；段，节
segregate,"a.分离的,被隔离的vt.使分离,使隔离"
seize,vt.抓住逮捕夺取攻占理解侵袭vi.抓住卡住终止
seldom,adv.很少不常难得adj.很少的
select,vt. &vi.选择挑选选拔adj.精选的优等的n.被挑选出来的人或物
selection,n.选择挑选精选物挑选出来的人或事
self,n.自我自己本身
selfish,adj.自私的利己的
sell,vi.卖销售促销vt.出让背叛出卖出售n.欺骗
seller,n.卖者售货者行销货畅销品
semester,n.半年学期半学年
semiconductor,n.半导体
seminar,"n. 研究会,讨论发表会"
senate,n.参议院上院
senator,n.参议员；评议员
send,vt.送传寄派遣发射vi.放送n.波浪的推力
senior,adj.年长的地位较高的高级的资深的n.年长者上司毕业班学生
sensation,n.感觉，知觉；轰动
sense,n.感官感觉见识侦测理智意义vt.感觉了解检测
sensible,adj.感觉得到的明智的可察觉的意识到的实用的n.可感知物
sensitive,adj.敏感的灵敏的易受伤害的感光的善解人意的n.敏感的人
sentence,n.判决句子意见宣判刑罚命题vt.宣判判决使遭受
sentiment,n.感情；情操；情绪
separate,adj.分离的个别的各自的单独的n.分开抽印本v.分开隔开分居
separately,adv.分离地分别地个别地独立地
separation,n.分离分开分居缺口
September,n.九月
sequence,n.连续继续次序序列一系列顺序一组镜头vt.安排顺序
series,n.连续系列系列节目丛书
serious,adj.严肃的认真的庄重的严重的危急的
seriously,adv.严肃地认真地严重地
servant,n.仆人佣人雇工
serve,vt.为...服务招待可作...用对待发球
service,n.服务行政部门公务部门服役发球发球方式vt.维护保养
session,n.会议一段时间开庭期市盘学期adj.短期的
set,"vt.放安置设定vi.(太阳)落下去n.组合集合设定一套一副一局比
赛"
setting,n.安装调整环境放置周围(为诗等谱写的)乐曲
settle,"vt.安排安放安顿调停解决决定付清(欠款)vi.定居降落n.有背的
长凳"
settlement,n.解决殖民殖民地安置协议结算住宅区
seven,num.七七个(人或物)
seventeen,num.十七十七个
seventh,num.第七七分之一n.第七七分之一adj.第七的adv.第七
seventy,num.七十七十个
several,adj.几个数个各自的pron.若干
severe,adj.严格的严厉的剧烈的严重的严峻的
severely,adv.严厉地严格地严重地(艰难地紧凑地纯朴地)
sew,vt.缝制缝合vi.缝纫
sex,n.性别性性欲vt.区别...性别引起...性欲
sexual,"a. 性的,性别的"
shabby,a.褴褛的；破旧的
shade,n.荫遮光物荫凉处色度稍微vi.荫蔽遮蔽渐变微减
shadow,n.阴影阴影子阴暗预兆跟踪盯梢的人
shady,adj.成荫的阴凉的可疑的
shaft,n.(工具的)柄，杆状物
shake,"vt.摇使震动挥拳摇晃去除动摇排掉(灰尘)握手vi.摇晃颤抖跌跌
撞撞握手发颤音n摇动摇晃震动地震颤抖(音)奶昔短时间"
shall,aux.v.将要必须应应该一定
shallow,adj.浅的浅薄的肤浅的浅显易懂的n.(pl.)浅滩浅处v.变浅
shame,n.羞耻羞愧羞辱遗憾的事vt.使羞愧
shampoo,vt.用洗发剂洗洗(头发地毯等)n.洗头洗发剂洗涤剂
shape,n.形状情况形式定形身材vt.定形使... 成形塑造
share,n.份份额股份部份分担犁头vt.分享共有分配vi.分享
sharp,"adj.锋利的敏锐的刺耳的急剧的清晰的adv.时刻，正准n.升半音
v.升音"
sharpen,vt.削尖使敏锐使...尖锐变为锐利加剧(苦痛等)
sharply,adv.锐利地敏锐地严厉地厉害地轮廓清晰、线条分明地
shatter,vt.粉碎，破碎；毁坏
shave,vt.剃修面擦过消减价格vi.修面刮胡子勉强通过n.修面刮胡子
she,pron.(主格)她
shear,"vt.剪剪掉剥夺割vi.剪修剪切割剥夺穿越n.修剪剪下的东西羊的
一岁"
shed,vt.散发脱落使...流出除掉n.车棚小屋贷棚脱落物
sheep,n.羊绵羊
sheer,a.纯粹的；全然的；陡峭的
sheet,"n.被单床单纸张薄板张片vt.盖上被单遍布使成片状vi.成片落下
或流动adj.片状的"
shelf,n.搁板(状物)岩棚架子
shell,n.壳贝壳外形炮弹v.去壳脱落炮击拾贝壳n.
shelter,n.隐蔽处掩蔽庇护庇护所避难所v.庇护保护隐匿
shepherd,n.牧羊人羊倌牧师指导者v.看守领导指导
shield,n.盾盾状物防护物vt.保护遮蔽
shift,vt.替换转移变声vi.改变定责更衣n.转换交换变化移动接班者
shilling,n.先令(货币单位)
shine,"vi.照耀发光表现出众闪耀着vt.使发光照射在...上擦亮n.光光
泽阳光光辉喜欢"
ship,"n.(大)船海船舰船员飞船vt.以船运送乘船运送进水在船上工作
vi.上船坐船运送在船上工作"
shipment,n.装货；装载的货物
shirt,n.(男式)衬衫
shiver,vi.颤抖哆嗦vt.颤动(碎裂)n.冷颤(碎块)
shock,n.冲击震惊冲突震惊休克vi.震动冲突使...受电击
shoe,n.鞋
shoot,vt.发射射中射击发出发芽vi.飞驰n.发芽射击芽发射
shop,n.商店店铺车间vi.购物寻找vt.购物逛商店
shopkeeper,n.店主零售商人
shopping,n.买东西购物动词shop的现在分词形式
shore,n.滨岸国家陆地斜撑柱vt.(up)支撑支持
short,adj.短的短期的矮的短暂的n.短裤adv.短暂地突然地
shortage,n.不足缺少不足额
shortcoming,n.短处缺点
shortly,adv.立刻马上简短地
shot,"n.发射弹丸射门炮弹射击射手努力v.射击发出发芽(shoot的过去
式和过去分词)adj.杂色的破烂不堪"
should,aux.v.将万一就应该竟然可能
shoulder,n.肩肩膀挑起角度交接处
shout,n.呼喊突发的大叫vt.高声呼喊呼叫vi.呼叫突然喊叫
show,vt.给...看表明表示显现展现指示n.显示表现表演事情
shower,"n.阵雨(一)阵淋浴vi.倾盆而下淋浴vt.淋湿下骤雨使(大量东西)
落在某人身上"
shrewd,"a. 精明的,敏锐的,机灵的"
shriek,vi.尖声喊叫n.尖叫声
shrink,vi.收缩缩小退缩萎缩vt.使收缩n.收缩萎缩
shrug,vt.&vi.耸(肩) n.耸肩
shut,"vt.关上闭上关闭防止进入禁闭合上停止或中止vi.关闭停止或中
止n.关闭adj.关闭的合拢的围绕的"
shutter,n.百叶窗；(相机)快门
shuttle,n.(织机的)梭
shy,"adj.易受惊的害羞的胆怯的迟疑的vi.惊退畏缩乱投vt.乱投n.投
掷惊避"
sick,adj.有病的恶心的腻烦的晕的n.病人呕吐物vt.追逐攻击唆使
sickness,n.疾病
side,n.边旁边一方侧方面adj.旁的侧的vt.支持同意vi.支持
sideways,adv.斜着斜向一边地向傍边斜地里向侧面地adj.傍边的向侧面的
sigh,n.呼吸叹息(带有情感)vi.发出叹息的声音感叹vt.叹息
sight,n.视力见情景景观眼界vt.看见观看vi.瞄准
sightseeing,n.观光游览动词sightsee的现在分词
sign,n.符号招牌正负号手势迹象签名v.签做手势做标记
signal,n.信号导火线动机vi.发信号vt.发信号标志adj.显著的
signature,n.署名签字签名签署书帖有特征的符号
significance,n.意义意味重要性
significant,"n.有意义的重要的意味深长的相当数量的重大的n.(复)有意义的
事物标志"
signify,vt.表示，意味着
silence,n.沉默寂静vt.使沉默使安静
silent,adj.沉默的寂静无声的安静的不吵闹的无言的n.(复数)默剧
silicon,n.硅(旧名矽)
silk,n.蚕丝丝绸丝织品adj.丝的
silly,adj.傻的愚蠢的淳朴的晕的
silver,n.银银子银器adj.银色的银的vt.镀银变成银白色
similar,adj.相似的类似的同样的
similarly,adv.类似地相似地
simple,"adj.简单的朴素的无辜的天真的基本的纯粹的n.平民精神病人草
药"
simplicity,n.简单简易朴素单纯简朴
simplify,vt.简化使单纯
simply,adv.简单地朴素地仅仅完全地
simulate,"vt. 模拟,假装,模仿"
simultaneous,a.同时的，同时存在的
sin,n.罪，罪孽 vi.犯罪
since,conj.从...以来因为既然自从adv.后来prep.自从
sincere,adj.真诚的真挚的
sing,vt.唱鸣唱用诗赞美叫响vi.唱歌n.合唱
singer,n.歌唱家歌手鸣禽烧毛工烧毛机Singer：辛格(姓氏)
single,"adj.单一的独身的单纯的n.单程票单曲单人房单身者vt.单独挑
出vi.(棒球)作一垒打"
singular,adj.单一的非凡的个人的单数的独一的唯一的n.单数
sink,"vi.下沉下垂降低下落陷于倾斜恶化渗透vt.下沉陷于倾斜减少n.
接收端沟渠污水槽散热器"
sir,n.先生阁下...爵士
sister,n.姐妹姐妹护士长
sit,vi.坐就坐孵vt.使坐担任开会孵n.坐
site,n.地点地基场所位置现场vt.使...位于
situated,a.位于…的
situation,n.位置处境形势局面状况职位
six,num.六六个
sixteen,num.十六十六个
sixth,num.第六六分之一n.六分之一六度音adj.第六的
sixty,num.六十六十个n.六十adj.六十的六十个的
size,"n.大小体积尺码尺寸vt.按大小排列(或分类)用... 填充(某
物)adj.一定大小的"
skate,n.冰鞋滑冰vi.滑冰溜冰vt.滑冰
skeleton,n.骨骼，骷髅；骨架
skeptical,"a. 怀疑的,多疑的"
sketch,n.略图速写素描概略概述草图小品vt.描绘略图vi.写生
ski,n.滑橇滑雪滑雪板vi.滑雪adj.滑雪(用)的
skill,n.技能技巧熟练
skilled,adj.有技能的熟练的
skillful,adj.灵巧的娴熟的
skim,"vt.掠过擦过滑过略读撇去浮沫vi.掠过覆盖了一层浮沫侵吞钱财
n.一层浮沫略读脱脂物adj.撇去浮沫的由脱脂乳做的"
skin,n.皮皮肤兽皮外皮皮囊v.剥皮削皮adj.色情的
skip,vi.跳；跳绳；略过
skirt,"n.女裙边缘郊区vt.位于...边缘装边于回避绕开vi.形成边缘
绕...走避开"
sky,n.天天空v. <英>把...投向空中将...高挂
slack,a.松弛的; 萧条的;懈怠的；vt.使松弛
slam,"vt.使劲关砰地放下猛然关上砰地关上猛烈抨击vi.砰地关上猛攻
猛烈抨击n.砰然声猛然猛烈的抨击"
slap,vt.掴，拍 n.巴掌，拍
slaughter,vt.&n.屠杀，屠宰
slave,"n.奴隶苦工完全受控制的人劳工从动装置vt.对另一种装置作出
直接回应vi.拼命工作贩卖奴隶"
slavery,n.奴隶制度苦役奴役奴隶身份
sleep,n.睡眠睡觉vi.& vt.睡
sleepy,adj.想睡的寂静的
sleeve,n.袖子袖套套管
slender,adj.细长的微薄的苗条的少量的
slice,n.薄片切片薄的切片部分锅铲vt.切成薄片大幅降低
slide,vi.滑跌落vt.使滑动n.滑幻灯片雪崩山崩滑坡滑梯
slight,adj.细长的轻微的纤细的脆弱的vt.轻视忽略n.轻蔑
slightly,adv.稍微些微地有点苗条地
slim,a.细长的；微小的
slip,"vi.滑跤滑落溜滑行下跌脱落犯错vt.使滑动偷偷迅速塞(给)匆忙
穿或脱摆脱忽略使脱臼n.滑疏漏小错误下跌船台码头衬裙枕头套"
slipper,n.拖鞋便鞋
slippery,adj.滑的使人滑跤的狡猾的不可靠的
slit,n.裂缝投币口vt.切开纵切撕开扯裂
slogan,n.标语，口号
slope,n.倾斜斜面斜坡斜线斜率vi.倾斜有坡度vt.使倾斜
slot,"n. 缝,狭槽,位置,职位"
slow,adj.慢的迟钝的adv. 慢慢地v.放慢减速
slowly,adv.慢慢地
slum,n.贫民窟贫民区vi.访问贫民区
sly,adj.狡猾的躲躲闪闪的诡密的偷偷摸摸的
small,adj.小的少的小型的adv.些许地n.狭小部分
smart,"adj.巧妙的洒脱的聪明的时髦的漂亮的敏捷的轻快的整洁的vi.
刺痛难过烦恼n.刺痛苦恼adv.轻快地机灵地整齐地漂亮地"
smash,vt.打碎，打破，粉碎
smell,n.嗅觉气味味道vt.嗅闻探出发臭vi.闻发臭
smile,vi.微笑赞许一笑而过vt.微笑微笑地表示以微笑完成n.微笑笑容
smog,n.烟雾
smoke,n.烟抽烟无常的事物vi.冒烟吸烟以烟熏
smooth,"adj.平滑的平静的平稳的流畅的安祥的圆滑的搅拌均匀的vt.使
光滑磨光安慰理顺(羽毛)vi.变光滑"
smoothly,adv.光滑地平滑地平稳地流畅地
smuggle,vt.私运 vi.走私
snack,n.快餐，小吃
snake,n.蛇v.蜿蜒扭曲
snap,vt.猛咬，突然折断
snatch,"n. 抢夺,攫取,片段 vt. 夺取,攫取"
snow,n.雪下雪似雪花的东西粉状物vi.下雪vt.雪一般落下使雪白欺骗
snowstorm,n.雪暴暴风雪
snowy,adj.雪的下雪的多雪的被雪所覆盖着的
so,"adv.这样这么非常如此如是同样conj.所以因此adj.真的pron.这
样"
soak,"vt.浸泡使...湿透浸泡在液体中浸洗吸入使某人喝醉向某人敲竹
杠vi.浸泡浸入液体渗透感化(某人)无节制地喝酒n.浸湿透喝醉"
soap,n.肥皂vt.用肥皂洗阿谀奉承
soar,"vi. 猛增，高耸，高飞,翱翔"
sob,vi.啜泣呜咽n.空间轨道的轰炸机呜咽哭泣
sober,"adj.清醒的适度的沉着冷静的稳重的颜色暗淡的vt.使清醒使沉
着vi.清醒冷静下来"
so-called,adj.所谓的号称的
soccer,n.英式足球
social,adj.社会的社交的群居的社团的
socialism,n.社会主义
socialist,adj.社会主义的n.社会主义者
society,n.社会团体社交界阶层圈子
sociology,n.社会学
sock,n.短袜vt. 给...穿短袜v.狠揍痛打n.重击犁头犁刃轻软鞋喜剧
soda,n.碳酸钠纯碱汽水苏打
soft,"adj.软的柔软的柔和的温和的不强烈的轻的adv.柔软地温和地n.
柔软的东西"
softly,adv.柔软地温柔地柔和地静静地
software,n.(计算机的)软件
soil,"n.泥土土壤土地污物粪便vt.弄脏弄污vi.变脏vt.用青草饲料喂
养"
solar,adj.太阳的太阳能的日光的
soldier,"n.(陆军)士兵军人偷懒者,兵蚁vi.当兵"
sole,"n.脚底鞋底袜底sole或soles鳎鱼adj.唯一的单独的独占的vt.给
(鞋)换底"
solely,adv.单独地独自地唯一地
solemn,adj.庄严的严肃的隆重的
solid,adj.固体的结实的实心的可靠的n.固体立方体adv.一致地
solidarity,n.团结；休戚相关
solitary,"n. 独居者 a. 孤独的,独居的"
solo,n.独唱，独奏；独唱曲
soluble,adj.可溶的可以解决的
solution,n.解决解答解决办法溶解溶液
solve,vt.解答解释解决
some,adj.一些若干adv.大约在某种程度上pron.一些(人物)若干
somebody,pron.某人有人n.重要人物
somehow,adv.由于某种原因不知怎么地以某种方式
someone,pron.某人有人
something,pron.某事某物有价值或重要的人或物adv.稍微有点非常
sometime,adv.在某一时候从前改天来日adj.以前的某一时间
sometimes,adv.不时有时间或
somewhat,pron.一点儿一些某物adv.有点多少几分
somewhere,ad.在某处到某种程度大约差不多n.某地某处
son,n.儿子孩子(长者对后辈的称呼)
song,n.歌唱歌曲歌词(鸟等)鸣声
soon,adv.不久很快早快
sophisticated,adj.老于世故的高级的诡辩的精密的老练的尖端的
sore,adj.痛的痛心的恼火的n.疮痛处adv.疼痛地
sorrow,n.悲痛悲哀悲伤伤心事vi.悲伤惋惜悔恨
sorry,adj.对不起的抱歉的难过的遗憾的int.对不起
sort,n.种类类别特征方法vt.分类整理使明确vi.交往协调
soul,"n.灵魂精神人心灵精髓鬼魂人黑人灵歌adj.美国黑人文化的黑人
的"
sound,"adj.健康的健全的完好的可靠的合理的adv.酣畅地n.声音吵闹海
峡鱼鳔探针v.听起来发出声音探测深度探询vi.响发声"
soup,n.汤羹n.困境
sour,adj.酸的酸腐的刻薄的脾气坏的v.变酸n.酸物
source,n.河的源头根源发源地来源原始资料
south,n.南南方adj.南方的adv.在南方向南方自南方
southeast,"n.东南东南地区adj.位于东南的东南的向东南的来自东南的adv.
往东南来自东南在东南"
southern,adj.南方的南部的来自南方的
southwest,"n.西南西南风西南地区adj.西南的来自西南方的adv.往西南来自
西南"
sovereign,n.君主 a.统治的
Soviet,n.苏维埃adj.苏维埃的苏联的
sow,"vt.播(种)散布vi.播种散布n.母猪, 大母熊, 铁水沟铁锭"
space,n.空间场地空地空白太空间隔v.留间隔分隔
spacecraft,n.航天器宇宙飞船
spaceship,n.航天飞船
spacious,a.广阔的，广大的
spade,n.铲铁锹在扑克牌中指黑桃v.铲vt.(用铲子)铲
span,"n.跨距跨度间距一段时间vt.横跨贯穿估量动词spin的过去式形
式n.共轭动物"
Spanish,adj.西班牙的西班牙人的西班牙语的n.西班牙人西班牙语
spare,"vt.节约抽出饶恕赦免adj.多余的闲置的备用的简陋的n.剩余备
用品"
spark,"n.火花火星朝气情人俗丽的年轻人vi.闪烁冒火花热情回应vt.激
发引起追求"
sparkle,vi.发火花闪耀冒火花vt.使闪耀n.闪耀火花
sparrow,n.麻雀
spatial,a.空间的，占据空间的
speak,vi.说话发言vt.说讲演说
speaker,n.说话者发言者说某种语言者扬声器
spear,n.矛(正负电子对撞机)枪vt用矛刺
special,adj.特殊的特别的专门的n.特别的东西特价特刊特色菜
specialist,n.专家
speciality,n.专业，特长；特产
specialize,vi.成为...专家专攻特殊化vt.专门研究专攻使...特殊化
specially,adv.专门地特别地
species,n.种，物种；种类
specific,adj.特有的特殊的明确的具体的有特效的n.特效药特性详情
specifically,"ad. 特定的,明确的"
specification,n.载明，详述；规格
specify,vi.指定详细说明阐述
specimen,n.样本标本样品
spectacle,n.场面；景象，奇观
spectacular,"a. 公开展示的,惊人的 n. 展览物"
spectator,n.参观者，观众
spectrum,n.系列，范围；波谱
speculate,vi.思索，沉思；投机
speech,n.言语演说演讲语言能力方言
speed,n.快速率速度迅速vi.快行加速急行
spell,"vt.拼写缓慢地或吃力地读轮班休息用符咒镇住(某人) vi.拼字
n.魅力符咒一段时间轮班"
spelling,n.拼字拼法拼写法
spend,vt.用钱花费浪费度过
sphere,n.球圆体范围领域天体vt.形成球体包围围绕
spider,n.蜘蛛
spill,vt.使溢出洒使...流出泄漏vi.溢出n.溢出流n.木片小杆
spin,vt.使旋转疾驰纺织结网眩晕n.旋转纺织眩晕疾驰
spiral,a.螺旋(形)的，盘旋的
spirit,"n.精神气魄情绪心灵幽灵精灵(复)spirits: 精力情绪烈酒vt.使
精神振作偷偷带走"
spiritual,adj.精神的心灵的与上帝有关的n.(尤指美国南部黑人的)圣歌
spit,"vi.吐吐唾沫吐出降小雨vt.用炙叉叉住n.唾液口水小雨烤肉叉海
峡海角"
splash,vt.溅泼 vi.泼水 n.溅
splendid,adj.壮丽的显著的极好的辉煌的壮观的杰出的
split,vt.劈开分离分开vi.被劈开adj.分散的n.劈开裂片裂口
spoil,vt.损坏破坏糟蹋宠坏溺爱腐坏n.战利品奖品
spokesman,n.发言人，代言人
sponge,n.海绵海绵状的东西vt.用海绵擦拭吸收掉抹掉
sponsor,n.发起者保证人赞助者主办者vt.发起赞助倡议
spontaneous,a.自发的；本能的
spoon,n.匙调羹匙状物vt.以匙舀起vi.调情
sport,n.运动体育运动会vi.炫耀戏弄嬉戏adj.运动的户外穿戴的
sportsman,n.运动员
spot,"n.点斑点污点地点场所斑点职位聚光灯插播节目少量adj.当场的
现场买卖的抽样的插播的v.使沾上污点认出用灯光照射"
spouse,"n. 配偶,夫妻"
spray,n.浪花喷雾水沫喷雾器vt.喷喷雾扫射喷射
spread,"vt.伸开伸展展开传播散布铺开涂撒n.传播伸展铺开幅度范围盛
宴差额"
spring,"vi.跳跃射出涌入(出)发芽长高vt.弹起使喷涌越过弹出释放发生
跳裂开n.春天春季跳跃弹跳泉泉水弹簧投射"
springtime,n.春季春天青春期初期
sprinkle,n.洒撒散置小雨
spur,n.刺激刺激物马刺鞭策支脉vt.刺激鞭策促进
spy,n.间谍特务侦探侦察vt.侦察侦探看到找出vi.看侦察
square,"n.正方形广场街区平方adj.正方形的正直的公正的结实的断然的
v.使...成方形调整一致收买adv.成直角直接的正方形地"
squeeze,vt. &vi.榨挤压榨挤压塞进n.压榨勒索榨取
squirrel,n.松鼠松鼠皮毛vt.储存
stab,vt. &vi.刺戳刺伤n.刺戳刺痛尝试突然的一阵
stability,n.稳定稳定性巩固居于修道院
stabilize,"vt.使稳定,使坚固 vi.稳定,安定"
stable,"adj.稳定的不变的安定的可靠的n.厩马厩马棚牛棚一批人vt.使
(马)入厩vi.入厩"
stack,n.堆堆叠垛vt.堆积堆放
stadium,n.露天大型运动场竞技场
staff,n.工作人员参谋全体人员同事拐杖杆棒五线谱vt.配备员工
stage,n.舞台驿站戏剧阶段vt.上演实行进行
stagger,vi.蹒跚 vt.使摇晃
stain,vt.玷污弄脏给...着色n.污点瑕疵染料着色剂
stair,n.楼梯
staircase,n.楼梯，楼梯间
stake,n.桩赌金赌注利害关系奖品v.下注用桩支撑
stale,"n.陈腐的走了气的(动物的)尿adj.不新鲜的陈腐的失效的vt.使
腐坏vi.变得不新鲜腐坏(动物)撒尿"
stall,n.货摊，书摊；厩
stamp,n.戳子邮票标志图章印跺脚v.跺脚盖章
stand,vi.站坐落位于停滞忍受n.架台站立停顿楼台货摊
standard,n.标准规格adj.标准的规范的普通的
standpoint,n.立场观点
star,n.星恒星明星v.以星状物装饰变成演员
stare,vi.盯凝视vt.显眼(毛发)竖立n.凝视
start,"vi.跳起出发开始起身vt.开始使震惊n.起点震动领先优势起推动
作用的外力"
startle,vt.使大吃一惊 n.吃惊
starve,vi.饿死挨饿受饿vt.使饿死使挨饿
state,"n.状态国家州情形adj.国家的州的正式的vt.说说明阐明陈述声
明规定"
statement,n.陈述声明
statesman,n.政治家国务活动家
static,"adj.静的静态的静力的静止的静电的n.静电静电干扰(猛烈的)反
对或抨击"
station,n.站台所局车站位置地位vt.安置驻扎配置
stationary,"a.固定的,静止不动的"
statistical,adj.统计的统计学的
statistics,n.统计，统计数字
statue,n.塑像雕像铸像
status,n.地位身分情形状况
stay,vi.停留逗留住n.逗留停留支撑物倚赖的人或事
steadily,adv.稳定地不变地稳固地坚定地
steady,"adj.稳固的稳定的坚定的vt.使稳定使稳固(变得)稳固adv.平稳
地稳固地n.固定的事物"
steal,vt.偷窍取n.偷窃便宜货(欺诈的)政治交易
steam,n.蒸汽水蒸气vi.蒸发蒸冒热气vt.蒸
steamer,n.轮船汽船蒸笼
steel,n.钢钢铁钢制品vt.使...硬如钢使坚强使下定决心adj.钢的
steep,adj.险峻的陡峭的(价格)过高的n.陡坡n.浸泡浸泡液v.浸泡沉浸
steer,vt.&vi.驾驶掌舵引导操纵n.(食用的)公牛暗示
stem,"n.茎(树)干柄船首vi.起源vt.抽去...的梗给...装柄逆...而行
n.血统，词干v.堵住阻止"
step,n.(脚)步步骤步伐踏级vi.走vt.踏以步测量
stereo,n.立体声 a.立体声的
stereotype,"n.陈腔滥调,老套"
stern,adj.严厉的坚定的坚决的苛刻的n.尾部船尾
steward,n.乘务员服务员v.做乘务员管理
stewardess,n.空中小姐女乘务员女管家
stick,n.棍棒枝杆手杖vt.刺粘贴插于刺入竖起vi.钉住粘贴坚持
sticky,adj.粘性的胶粘的闷热的困难的令人不满意的
stiff,"adj.硬的僵直的生硬的拘谨的不灵活的adv.僵硬地极其n.死尸过
于拘谨的人流浪汉吝啬鬼醉鬼vt.诈骗失信不给小费"
stiffen,vt.使硬使僵硬变为浓粘
still,"adj.静止的不动的静寂的n.寂静沉默定格照酒厂adv.仍然更静止
地conj.然而但是vi.变沉默vt.使冷静抓住使停止使放松"
stimulate,vt.刺激激励激发鼓舞vi.起刺激作用
stimulus,"n. 刺激,激励,刺激品"
sting,vt.刺刺痛使苦恼欺诈vi.刺叮刺痛n.刺痛刺讽刺
stir,"vt.动拨动激动惹起搅和vi.挪动活动离开搅拌激动n.感动(激动
愤怒或震动), 搅拌骚乱"
stitch,n.一针针脚疼痛碎布条vt.缝缝合
stock,"n.原料库存品存货股本股份储备树干血统家畜adj.存货的平凡的
惯用的股票的畜牧的vt.进货采购储存供给vi.出新芽进货"
stocking,n.长(统)袜
stomach,n.胃胃口肚子食欲vt.忍受容忍
stone,"n.石石头石块石料(水果的)硬核宝石英石(重量单位合14磅)vt.
向...扔石头去掉(水果的)核adj.石的石制的adv.(用于复合词)
全然地"
stony,adj.多石的石头的石质的冷酷的铁石心肠的<古>石造的
stool,n.凳子搁脚凳便桶根株vi.引诱
stoop,vi.俯身弯下弯下上身屈服n.弯腰佝偻屈服
stop,vt.塞住阻止停止停留n.停止车站逗留
storage,n.贮藏贮藏量存储保管保管费仓库
store,"n.贮藏贮存品商店仓库vt.储存贮藏供给保存(在计算机里)存贮
记忆adj.储备的"
storey,n.(层)楼=story(美)
storm,n.风暴暴(风)雨v.猛攻捣毁起风暴暴怒
stormy,adj.有暴风雨的激烈的粗暴的
story,"n.故事小说传说叙述新闻报道楼层(=storey)vt.以历史事件为图
案装饰"
stove,n.炉子火炉电炉火炉窑烘房【主英】温室
straight,"adj.直的正直的准的坦率的连续的异性恋的adv.直直接笔直地平
正了坦率的连续不断地n.直的东西传统的人"
straightforward,a.老实的 ad.坦率地
strain,vt.拉紧劳累过份使用vi.尽力n.紧张拉紧血统
strange,adj.陌生的奇怪的adv.奇怪地
stranger,n.陌生人新来者外地人新手
strap,n.带子皮带vt.(用带)捆扎(用带)打
strategic,"a. 战略的,战略上的"
strategy,n.战略策略
straw,"n.稻草麦杆吸管adj.用稻草做的用来作稻草的麦杆色的无价值的
象稻草人的非正式民意测验所发现的"
strawberry,n.草莓
stream,n.河(人车气)流水流组vi. &vt.流流出飘动接踵而来
streamline,n.流线；流线型
